CustomerID,TotalSpent,QuantityPurchased,Frequency,Cluster,CustomerGroup
14,256.2327913,5,1,0,Occasional
42,502.6565234,7,1,2,Loyal
49,21.39904723,1,1,0,Occasional
59,249.492696,12,2,1,High Value
65,548.0066252,8,1,2,Loyal
87,41.51590547,2,1,0,Occasional
96,194.356816,4,1,0,Occasional
98,166.9346467,6,1,0,Occasional
100,710.0625762,8,1,2,Loyal
101,364.9742948,9,1,2,Loyal
135,25.83433213,1,1,0,Occasional
165,181.9839348,4,1,0,Occasional
169,457.1195323,7,1,2,Loyal
190,119.7414498,4,1,0,Occasional
202,145.6055967,2,1,0,Occasional
211,293.0965945,5,1,2,Loyal
213,340.4794469,4,1,0,Occasional
223,155.7043112,6,1,0,Occasional
227,348.2460943,8,1,2,Loyal
230,242.1020243,4,1,0,Occasional
232,102.9488437,4,1,0,Occasional
238,40.39517637,4,1,0,Occasional
243,280.9307299,6,1,2,Loyal
248,65.84340225,6,1,0,Occasional
280,88.62820957,3,1,0,Occasional
284,241.7435562,4,1,0,Occasional
289,229.8808494,6,1,2,Loyal
290,301.86574,8,1,2,Loyal
297,520.5968056,8,1,2,Loyal
299,606.6971235999999,11,2,1,High Value
306,267.665442,3,1,0,Occasional
315,137.1832086,4,1,0,Occasional
319,347.5441797,5,1,2,Loyal
327,676.4390942,8,1,2,Loyal
345,392.8392331,9,1,2,Loyal
352,176.7430055,5,1,0,Occasional
360,307.6017959,8,1,2,Loyal
382,69.62103281,3,1,0,Occasional
393,99.08964269,4,1,0,Occasional
399,109.7249415,5,1,0,Occasional
402,48.18508029,1,1,0,Occasional
415,66.12504916,3,1,0,Occasional
417,65.51688989,3,1,0,Occasional
442,421.41942066,7,2,1,High Value
474,288.8941216,6,1,2,Loyal
475,554.7768083,6,1,2,Loyal
514,285.4230248,5,1,2,Loyal
520,249.873012,8,1,2,Loyal
527,185.9614176,6,1,0,Occasional
534,342.3247791,7,1,2,Loyal
552,330.8429636,7,1,2,Loyal
559,34.09503496,1,1,0,Occasional
580,156.3773577,3,1,0,Occasional
587,40.97817374,1,1,0,Occasional
592,571.7079867,7,1,2,Loyal
609,349.9852454,9,1,2,Loyal
610,109.4544639,8,1,2,Loyal
614,557.7748966,8,1,2,Loyal
631,166.9333804,6,1,0,Occasional
646,196.3257023,3,1,0,Occasional
651,68.77268255,8,1,2,Loyal
666,394.8584194,7,1,2,Loyal
670,112.7046451,4,1,0,Occasional
693,122.9336987,4,1,0,Occasional
708,69.60258911,3,1,0,Occasional
709,416.5401857,6,1,2,Loyal
712,149.072887,4,1,0,Occasional
730,185.9620483,3,1,0,Occasional
736,151.0488534,3,1,0,Occasional
737,266.8924833,8,1,2,Loyal
743,117.7390525,2,1,0,Occasional
744,239.6018409,4,1,0,Occasional
754,271.0245573,3,1,0,Occasional
762,393.2318981,9,1,2,Loyal
766,146.5728527,2,1,0,Occasional
779,86.14907415,1,1,0,Occasional
780,224.5551909,3,1,0,Occasional
783,404.5467937,8,1,2,Loyal
802,266.0534903,4,1,0,Occasional
805,142.4159538,9,1,2,Loyal
838,248.7114766,4,1,0,Occasional
845,495.9229396,8,1,2,Loyal
847,155.268144,2,1,0,Occasional
902,94.7314108,3,1,0,Occasional
904,59.66523162,1,1,0,Occasional
905,160.9693717,5,1,0,Occasional
907,415.958306,5,1,2,Loyal
911,479.2986632,7,1,2,Loyal
926,248.04097,5,1,0,Occasional
948,29.74638352,3,1,0,Occasional
959,1176.3474024,14,2,1,High Value
960,247.7994053,4,1,0,Occasional
966,292.8664938,6,1,2,Loyal
968,158.5599548,4,1,0,Occasional
969,107.6493372,9,1,2,Loyal
975,242.2662475,10,2,1,High Value
976,315.7386757,8,1,2,Loyal
985,48.97583684,1,1,0,Occasional
994,104.049533,2,1,0,Occasional
1001,41.70059044,1,1,0,Occasional
1026,73.20205033,1,1,0,Occasional
1041,635.7750028,8,1,2,Loyal
1052,78.76129242,9,1,2,Loyal
1054,72.62618499,3,1,0,Occasional
1063,50.63871435,5,1,0,Occasional
1064,559.7307801,9,1,2,Loyal
1072,215.6081748,4,1,0,Occasional
1084,363.0288532,4,1,2,Loyal
1090,101.0351008,2,1,0,Occasional
1100,295.647738,8,1,2,Loyal
1101,16.04248262,1,1,0,Occasional
1105,115.8996947,7,1,0,Occasional
1112,57.7989264,4,1,0,Occasional
1118,74.07891042,2,1,0,Occasional
1148,82.01862836,5,1,0,Occasional
1154,92.03442694,2,1,0,Occasional
1163,12.33897937,1,1,0,Occasional
1164,450.346651,6,1,2,Loyal
1188,150.750972,6,1,0,Occasional
1195,167.9598365,4,1,0,Occasional
1201,26.60895867,1,1,0,Occasional
1202,345.7333292,4,1,0,Occasional
1206,243.643317,9,1,2,Loyal
1207,578.2927831,8,1,2,Loyal
1208,147.829605,2,1,0,Occasional
1226,128.7932702,4,1,0,Occasional
1236,296.329184,5,1,2,Loyal
1252,252.9779096,7,1,2,Loyal
1255,66.47699225,1,1,0,Occasional
1257,20.90873773,1,1,0,Occasional
1296,106.4183652,8,1,2,Loyal
1309,81.32777936,6,1,0,Occasional
1319,61.96382407,3,1,0,Occasional
1324,258.9160457,9,1,2,Loyal
1327,273.5491913,6,1,2,Loyal
1359,229.3873143,5,1,0,Occasional
1368,306.5991545,7,1,2,Loyal
1371,717.9217726,9,1,2,Loyal
1375,119.7823451,4,1,0,Occasional
1377,307.6840722,9,1,2,Loyal
1411,524.4939748,9,1,2,Loyal
1412,359.8052256,5,1,2,Loyal
1414,62.35189259,4,1,0,Occasional
1419,771.2293376,9,1,2,Loyal
1420,322.2443165,9,1,2,Loyal
1427,353.1938183,6,1,2,Loyal
1437,260.5744653,3,1,0,Occasional
1442,367.7804799,6,1,2,Loyal
1465,465.9375554,9,1,2,Loyal
1474,835.5465022,9,1,2,Loyal
1476,91.71012297,4,1,0,Occasional
1485,83.18569843,1,1,0,Occasional
1513,30.01810698,1,1,0,Occasional
1528,13.04879037,1,1,0,Occasional
1529,411.091886,6,1,2,Loyal
1536,473.5878543,8,1,2,Loyal
1549,546.7608839,8,1,2,Loyal
1557,195.8877665,4,1,0,Occasional
1559,121.3565218,9,1,2,Loyal
1560,241.1646007,3,1,0,Occasional
1576,305.6870015,7,1,2,Loyal
1581,543.5836833,7,1,2,Loyal
1583,382.7564606,5,1,2,Loyal
1597,450.0468869,9,1,2,Loyal
